prefijo,cou,nota
850012,105,ensenanza escolar publica
853,106,ensenanza superior privada
853110,105,universidades publicas
854,106,otros tipos de ensenanza
855,106,actividades de apoyo a la ensenanza
861,108,hospitales y clinicas privadas (por defecto de la clase 861)
861010,107,hospitales y clinicas publicas
862,108,medicos y odontologos
869,108,otras actividades de atencion de la salud
87,108,atencion en instituciones
88,108,asistencia social sin alojamiento

# --- Otros servicios (COU 109-111) ---
90,110,actividades creativas y artisticas
910,110,bibliotecas archivos y museos
920,110,juegos de azar y apuestas
93,110,actividades deportivas y de esparcimiento
94,109,actividades de asociaciones
95,111,reparacion de computadores y efectos personales
960,111,otras actividades de servicios personales
970,111,hogares como empleadores
990,111,organizaciones extraterritoriales
